Department,Course Title,Course No.,Related Dept,Related Dept 2,Related Dept 3
Chemistry,Lab: Inorganic Quantitative Analysis,CHEM-2310,,,
Chemistry,Allied Science Lab: Synthesis and Detection of Organic Compounds,CHEM-2510,,,
Chemistry,Class Assessment (Sessional),CHEM-2611,,,
Chemistry,Field Work and Industrial Tour,CHEM-2712,,,
Chemistry,Oral Presentation (Viva-voce),CHEM-2813,,,
Chemistry,Electrochemistry & Ionic Equilibria,CHEM-3101,,,
Chemistry,Solid State Chemistry & Crystallography,CHEM-3102,,,
Chemistry,Molecular Spectroscopy,CHEM-3103,,,
Chemistry,Organic Reaction Mechanism,CHEM-3201,,,
Chemistry,Stereochemistry and Chemistry of Biomolecules,CHEM-3202,,,
Chemistry,Clinical and Pathological Chemistry,CHEM-3203,Philosophy,,
Chemistry,Coordination Chemistry,CHEM-3301,,,
Chemistry,Organometallic Chemistry,CHEM-3302,,,
Chemistry,Electronic and Spin Resonance Spectroscopy,CHEM-3303,,,
Chemistry,Nuclear Chemistry,CHEM-3304,,,
Chemistry,Inorganic Process Industries,CHEM-3401,,,
Chemistry,Organic Process Industries,CHEM-3402,,,
Chemistry,Physical Chemistry Lab-II,CHEM-3110,,,
Chemistry,Lab: Systematic Organic Compound Identification,CHEM-3210,,,
Chemistry,Lab: Synthesis and Analysis of Inorganic Compounds,CHEM-3310,,,
Chemistry,Lab: Analysis of Water and Industrial Products,CHEM-3410,,,
Chemistry,Class Assessment (Sessional),CHEM-3611,,,
Chemistry,Field Work and Industrial Tour,CHEM-3712,,,
Chemistry,Oral Presentation (Viva-voce),CHEM-3813,,,
Chemistry,"Solution, Colloid and Surface Chemistry",CHEM-4101,,,
Chemistry,Supramolecules and Polymers,CHEM-4102,,,
Chemistry,"Quantum Mechanics, Statistical Mechanics and Quantum Computational Chemistry",CHEM-4103,Physics, Statistics, CSE
Chemistry,Natural Products Chemistry,CHEM-4201,,,
Chemistry,Synthetic Organic Chemistry,CHEM-4202,,,
Chemistry,Bioorganic Chemistry,CHEM-4203,,,
Chemistry,Chemistry of Metal Complexes,CHEM-4301,,,
Chemistry,"Boranes, π-Acceptor Ligands, Ionizing Solvents and Magnetochemistry",CHEM-4302,ACCE,,
Chemistry,Analytical Chemistry,CHEM-4303,Mathematics,,
Chemistry,Material Science,CHEM-4304,,,
Chemistry,Chemical Engineering,CHEM-4401,,,
Chemistry,Fuel Technology,CHEM-4402,,,
Chemistry,Physical Chemistry Lab-III,CHEM-4110,,,
Chemistry,Lab: Functional Group Estimation and Chromatographic Techniques,CHEM-4210,,,
Chemistry,Lab: Estimation of Metal ions in a Mixture and Synthesized Complexes,CHEM-4310,,,
Physics,Mathematical Physics-I and Mechanics,PHYS-101,Mathematics,,
Physics,Properties of Matter and Sound,PHYS-102,,,
Physics,Heat and Thermodynamics,PHYS-103,,,
Physics,"Mathematics-I (Algebra, Trigonometry and Geometry)",PHYS-104,Mathematics,GEB,
Physics,Chemistry-I (Physical Chemistry and Inorganic Chemistry),PHYS-105,Chemistry,,
Physics,Statistics,PHYS-106,Statistics,,
Physics,Physics Practical-I,PHYS-107,,,
Physics,Statistics Practical,PHYS-108,Statistics,,
Physics,English,ENG- 001,English,,
Physics,Mathematical Physics-II and Classical Mechanics,PHYS-201,Mathematics,,
Physics,Electricity and Magnetism,PHYS-202,,,
Physics,Statistical Mechanics and Radiation,PHYS-203,Statistics,,
Physics,Computer Fundamentals and Programming,PHYS-204,CSE,,
Physics,Differential Equations and Applications,PHYS-205,Mathematics,,
Physics,"Mathematics-II (Differential Calculus, Integral Calculus and Special Functions)",PHYS-206,Mathematics,,
Physics,Chemistry-II (Organic Chemistry),PHYS-207,Chemistry,,
Physics,Physics Practical-II,PHYS-208,,,
Physics,Computer Practical,PHYS-209,CSE,,
Physics,Optics,PHYS-301,,,
Physics,Atomic and Molecular Physics,PHYS-302,,,
Physics,Quantum Mechanics-I,PHYS-303,,,
Physics,Basic Electronics,PHYS-304,EEE,,
Physics,Solid State Physics-I,PHYS-305,,,
Physics,Nuclear Physics-I,PHYS-306,,,
Physics,Physics Practical-III,PHYS-307,,,
Physics,Relativity,PHYS-401,,,
Physics,Electrodynamics,PHYS-402,,,
Physics,Quantum Mechanics-II,PHYS-403,,,
Physics,Electronics and Communication Theory,PHYS-404,EEE,Commuinication & Journalism,
Physics,Solid State Physics-II,PHYS-405,,,
Physics,Nuclear Physics-II,PHYS-406,,,
Physics,Computational Physics,PHYS-407,CSE,,
Physics,Physics Practical-IV,PHYS-408,,,
LAW,Jurisprudence,LL.B- 101,,,
LAW,Legal History and Legal System of Bangladesh,LL.B- 102,History, Bangla,
LAW,Muslim Law,LL.B- 103,,,
LAW,Hindu law,LL.B- 104,,,
LAW,Roman Law,LL.B- 105,,,
LAW,Law and Economics,LL.B- 106,Economics,,
LAW,General English,LL.B- 107,English,,
LAW,Government and Politics,LL.B- 201,Political Science,,
LAW,Law of Contract,LL.B- 202,,,
LAW,Constitutional Law of Bangladesh,LL.B- 203,Bangla,,
LAW,Fiscal Laws of Bangladesh,LL.B- 204,Bangla,,
LAW,Law of Transfer of Property,LL.B- 205,,,
LAW,Law of Torts,LL.B- 206,,,
LAW,Law of Consumer Protection,LL.B- 207,,,
LAW,English for Law,LL.B- 208,English,,
LAW,"Constitutions of the UK, USA and India",LL.B- 301,,,
LAW,Criminology,LL.B- 302,Criminology & Police Science,,
LAW,Law of Crimes (Substantive),LL.B- 303,,,
LAW,Code of Criminal Procedure,LL.B- 304,,,
LAW,Law of Evidence,LL.B- 305,,,
LAW,Administrative Law,LL.B- 306,,,
LAW,Land Laws of Bangladesh,LL.B- 307,Bangla,,
LAW,Corporate Law,LL.B- 308,,,
LAW,Legal Research Methodology,LL.B- 309,,,
LAW,Code of Civil Procedure,LL.B- 401,,,
LAW,Labour and Industrial Law,LL.B- 402,,,
LAW,Public International Law,LL.B- 403,,,
LAW,"Specific Relief Act, Law of Limitation and Law of Registration",LL.B- 404,,,
LAW,Mercantile Law and Other Bussiness Law,LL.B- 405,,,
LAW,"Law of Conveyancing, Legal Drafting and Legal Ethics",LL.B- 406,Philosophy,,
LAW,Public Demands Recovery Act 1913,LL.B- 407,,,
LAW,Alternative Dispute Resolution,LL.B- 408,,,
LAW,Equity and Trust,LL.B- 409,,,
LAW,General Clauses Act & Interpretation of Statutes,LL.B- 410,,,
LAW,"Court Attendance, Moot Court and Mock Trial",LL.B- 411,,,
Sociology,Introduction to Sociology,SOC 101,,,
Sociology,Social History and World Civilizations,SOC 102,History,,
Sociology,Traditions in Social Thought,SOC 103,,,
Sociology,Introduction to Anthropology,SOC 104,Anthropology,,
Sociology,Social History of Bangladesh,SOC 105,History, Bangla,
Sociology,Economy and Society,SOC 106,,,
Sociology,Politics and Governance,SOC 107,Political Science,,
Sociology,Social Psychology,SOC 108,Psychology,,
Sociology,Social Structure of Bangladesh,SOC 201,Bangla,,
Sociology,Rural Sociology,SOC 202,,,
Sociology,Gender Relations and Feminism,SOC 203,,,
Sociology,Social Research Methodology-I,SOC 204,,,
Sociology,Social Statistics,SOC 205,Statistics,,
Sociology,Sociology of Environment,SOC 206,Environmental Science,,
Sociology,Sociology of Poverty,SOC 207,,,
Sociology,Sociology of Ethnicity and Minority,SOC 208,,,
Sociology,Sociology of Religion,SOC 209,,,
Sociology,Classical Sociological Theory,SOC 301,Philosophy,,
Sociology,Criminology,SOC 302,Criminology & Police Science,,
Sociology,Urban Sociology,SOC 303,,,
Sociology,Sociology of Development,SOC 304,Development Studies,,
Sociology,Social Demography,SOC 305,,,
Sociology,Social Stratification and Inequality,SOC 306,,,
Sociology,Sociology of Communication and Information Technology,SOC 307,Commuinication & Journalism,,
Sociology,Contemporary Sociological Theory,SOC 401,Philosophy,,
Sociology,Sociology of Poverty,SOC 402,,,
Sociology,Political Sociology,SOC 404,Political Science,,
Sociology,Sociology of Sustainable Development,SOC 406,Development Studies,,
Sociology,Understanding Social Change in Bangladesh,SOC 451,Bangla,,
Sociology,"Gender, Violence and Development",SOC 452,Development Studies,,
Sociology,Monograph Design,SOC 454,,,
Sociology,Comprehensive and Viva Voce,SOC 455,,,
Marketing,Introduction to Business,BCC 101,,,
Marketing,Basic Accounting,BCC 102,Accounting,,
Marketing,Business Mathematics,BCC 103,Mathematics,,
Marketing,Principles of Management,BCC 104,Management,,
Marketing,Business Communication,BCC 105,Commuinication & Journalism,,
Marketing,Principles of Marketing,BCC 106,,,
Marketing,Microeconomics,BCC 107,Economics,,
Marketing,Business Statistics,BCC 108,Statistics,,
Marketing,Business Law,BCC 109,LAW,,
Marketing,Information Technology in Business,BCC 110,,,
Marketing,Business Finance,BCC 201,Finance,,
Marketing,Human Resource Management,BCC 202,Management,,
Marketing,Principles of Banking,BCC 203,Banking & Insurance,,
Marketing,Macroeconomics,BCC 204,Economics,,
Marketing,Theory & Practice of Taxation,BCC 205,,,
Marketing,Insurance & Risk Management,BCC 206,Management, Banking & Insurance,
Marketing,Business Ethics,BCC 207,Philosophy,,
Marketing,Entrepreneurship Development,BCC 208,Development Studies,,
Marketing,Organizational Behavior,BCC 209,,,
Marketing,Bangladesh Studies and Economic Development,BCC 210,Bangla, Development Studies,
Marketing,Cost Accounting,MKT 301,Accounting,,
Marketing,Logistics Management,MKT 302,Management,,
Marketing,Financial Management,MKT 303,Management,,
Marketing,Business Marketing,MKT 304,,,
Marketing,Marketing Management,MKT 305,Management,,
Marketing,Managerial Economics,MKT 306,Economics,,
Marketing,Supply Chain Management,MKT 307,Management,,
Marketing,Digital and Social Media Marketing,MKT 308,Commuinication & Journalism,,
Marketing,Sustainable Marketing,MKT 309,,,
Marketing,Integrated Marketing Communication,MKT 310,Commuinication & Journalism,,
Marketing,Global Marketing,MKT-411,,,
Marketing,Product Planning and Development,MKT-412,Development Studies,,
Marketing,International Economics,MKT-413,Economics,,
Marketing,Corporate Governance & Social Responsibility,MKT-414,,,
Marketing,Econometrics,MKT-415,Economics,,
Marketing,Brand Management,MKT-421,Management,,
Marketing,Marketing Research,MKT-422,,,
Marketing,Selling and Sales Management,MKT-423,Management,,
Marketing,Consumer Behavior,MKT-424,,,
Marketing,Services Marketing,MKT-425,,,
Sanskrit,History of Vedic Literature,SKT101,History, English,
Sanskrit,History of Sanskrit Literature,SKT102,History, English,
Sanskrit,Introduction to Sanskrit Grammar and Language,SKT103,,,
Sanskrit,English Language,SKT104,English,,
Sanskrit,History of Modern Sanskrit Literature,SKT105,History, English,
Sanskrit,Sanskrit Story Literature,SKT106,English,,
Sanskrit,Sanskrit Language,SKT107,,,
Sanskrit,Bangladesh Studies,SKT108,Bangla,,
Sanskrit,Sanskrit Poetry,SKT209,,,
Sanskrit,Sanskrit Poetics,SKT210,,,
Sanskrit,Sanskrit Grammar,SKT211,,,
Sanskrit,Sociology and Anthropology,SKT212 (A),Sociology, Anthropology,
Sanskrit,Economics,SKT212 (B),Economics,,
Sanskrit,Sanskrit Drama,SKT213,,,
Sanskrit,Sanskrit Prose,SKT214,,,
Sanskrit,History of Bengali Literature,SKT215,History, Bangla, English
Sanskrit,ICT Fundamentals and Advanced MS Office Skills,SKT216,,,
Sanskrit,"Bengali poem, prosody and Grammar",SKT317,Bangla,,
Sanskrit,Sanskrit Grammar,SKT318,,,
Sanskrit,Vedic Samhita & Grammar,SKT319,,,
Sanskrit,Linguistics and Sanskrit Philology,SKT320,,,
Sanskrit,Indian Philosophy,SKT323,Philosophy,,
Sanskrit,Manuscriptology,SKT324,,,
Sanskrit,Bengali Fiction and Essay,SKT321,Bangla,,
Sanskrit,Vedic & Sanskrit Prosody,SKT322,,,
Sanskrit,Later Vedic Literature,SKT425,English,,
Sanskrit,Ancient Sanskrit epic,SKT426,,,
Sanskrit,Purana and Philosophical Poem,SKT427,,,
Sanskrit,Research Methodology,SKT428,,,
Sanskrit,Sanskrit Moral Literature,SKT429,English,,
Sanskrit,Ancient Indian Politics,SKT430,Political Science,,
Sanskrit,Sanskrit Composition & Translation,SKT431,,,
Sanskrit,Indian Archeology and Iconography,SKT332,,,
Sanskrit,Historical Kavya (Prose & Poetry),SKT333,,,
Arabic,Recitation with Tajweed and Memorization through Understanding,Arab.101,,,
Arabic,Developing Arabic Language Skills-1 (Listening & Speaking-1),Arab.102,,,
Arabic,Developing Arabic Language Skills-2 (Reading & Writing-1),Arab.103,,,
Arabic,Developing Arabic Language Skills-3 (Listening & Speaking-2),Arab.104,,,
Arabic,Developing Arabic Language Skills-4 (Reading & Writing-2),Arab.105,,,
Arabic,Basic English Skills,Arab.106,English,,
Arabic,Al-Quran and Al-Hadith,Arab.201,,,
Arabic,Developing Arabic Language Skills-5 (Arabic Grammar-1 [Sarf]),Arab.202,,,
Arabic,Advanced English Skills,Arab.203,English,,
Arabic,Developing Arabic Language Skills-6 (Arabic Grammar-2 [Nahwu]),Arab.204,,,
Arabic,"Classical Poetry-I (Pre-Islamic, Early Islamic & Umayyad Poetry)",Arab.205,,,
Arabic,"Classical Prose (Pre-Islamic, Islamic, Umayyad, Abbasid & Turkey Prose)",Arab.206,,,
Arabic,Introduction to Arabic Language and Literature,Arab.301,English,,
Arabic,Classical Poetry-II (Abbasid & Andalusian Poetry),Arab.302,,,
Arabic,Economic System in Islam,Arab.303 (A),,,
Arabic,History of Islam (664-1258 A.D) and the Middle East (1258-Present Day),Arab.303 (B),History,,
Arabic,Muslim Philosophy,Arab.303 (C),Philosophy,,
Arabic,Bangladesh Studies-I,Arab.304,Bangla,,
Arabic,Modern Prose-I (Arabic Novel & Short Story),Arab.305,,,
Arabic,Introduction to Rhetoric and Prosody,Arab.306,,,
Arabic,Introduction to Computer,Arab.307,CSE,,
Arabic,Bangladesh Studies-II,Arab.308,Bangla,,
Arabic,Modern Prose-II (Arabic Drama & Essay),Arab.401,,,
Arabic,Modern Poetry-I,Arab.402,,,
Arabic,Arabic for Professional Purpose,Arab.403,,,
Arabic,History of Arabic Literature,Arab.404,History, English,
Arabic,World Literature in Translation,Arab.408 (E),English,,
Arabic,Travel Literature,Arab.408 (F),English,,
Arabic,Biographical Literature,Arab.408 (G),English,,
Arabic,Modern Poetry-II,Arab.405,,,
Arabic,Terminology Through Translation,Arab.406,,,
Arabic,Arabic Literary Criticism (Theory and Practice),Arab.407,,,
Arabic,Introduction to Mode of Arabic Language Teaching,Arab.408 (A),,,
Arabic,Introduction to Social Research and Project Management,Arab.408 (B),Management,,
Arabic,Research Techniques in Language-Literature and Manuscript Editing,Arab.408 (C),English,,
Arabic,The Gulf and Arabian Peninsula Literature,Arab.408 (D),English,,
Criminology & Police Science,Introduction to Law,CRM121,LAW,,
Criminology & Police Science,Introduction to Criminal Justice,CRM122,,,
Criminology & Police Science,Introduction to Policing,CRM123,,,
Criminology & Police Science,Psychology of Criminal Behavior,CRM124,Psychology,,
Criminology & Police Science,Principles of Economics,CRM125,Economics,,
Criminology & Police Science,Theories of Crime I,CRM211,,,
Criminology & Police Science,Introduction to Victimology,CRM212,,,
Criminology & Police Science,Criminal Laws of Bangladesh,CRM213,LAW,Bangla,
Criminology & Police Science,Criminal Investigation: Methods and Techniques,CRM214,,,
Criminology & Police Science,Elementary Mathematics,CRM215,Mathematics,,
Criminology & Police Science,Fundamentals of Forensic Science,CRM221,,,
Criminology & Police Science,Juvenile Delinquency and Justice,CRM222,,,
Criminology & Police Science,Community and Humanistic Policing,CRM223,,,
Criminology & Police Science,Major Issues in Penology and Correction,CRM224,,,
Criminology & Police Science,Social Statistics I,CRM311,Statistics,,
Criminology & Police Science,"Gender, Crime and Criminal Justice",CRM312,,,
Criminology & Police Science,"Social Unrest, Violence and Movements",CRM313,,,
Criminology & Police Science,"Identity, Ethnicity and Crime (Elective)",CRM314,,,
Criminology & Police Science,"Crime, Violence and Media (Elective)",CRM315,Commuinication & Journalism,,
Criminology & Police Science,Criminal Courts and Sentencing (Elective),CRM316,,,
Criminology & Police Science,Hate Crime (Elective),CRM317,,,
Criminology & Police Science,Police Management and Administration (Elective),CRM318,Management,,
Criminology & Police Science,Research Methodology,CRM321,,,
Criminology & Police Science,Social Statistics II,CRM322,Statistics,,
Criminology & Police Science,Environmental Crime (Elective),CRM323,Environmental Science,,
Criminology & Police Science,Religion and Crime (Elective),CRM324,,,
Criminology & Police Science,Crime Prevention (Elective),CRM325,,,
Criminology & Police Science,Cultural Criminology (Elective),CRM326,,,
Criminology & Police Science,Political Economy of Crime and Punishment (Elective),CRM327,Political Science,,
Criminology & Police Science,Financial Crimes and Corruption (Elective),CRM328,,,
Criminology & Police Science,Offenders Treatment: Theory and Methods (Elective),CRM329,,,
Criminology & Police Science,Global Terrorism and Security,CRM411,,,
Criminology & Police Science,Organized Crime,CRM412,,,
Criminology & Police Science,"Drugs, Crime and Society",CRM413,,,
Criminology & Police Science,Surveillance and Society (Elective),CRM414,,,
Criminology & Police Science,Crime Mapping (Elective),CRM415,,,
Criminology & Police Science,Criminology and Career (Elective),CRM416,,,
Criminology & Police Science,Issues of Development and Crime (Elective),CRM417,Development Studies,,
Criminology & Police Science,Theories of Crime II,CRM421,,,
Criminology & Police Science,Cyber Crime and Information Technology (Elective),CRM422,,,
Criminology & Police Science,Crime Prevention and Security Studies (Elective),CRM423,,,
Criminology & Police Science,Human Rights and Criminal Justice (Elective),CRM424,,,
Criminology & Police Science,Genocide and Crimes against Humanity (Elective),CRM425,,,
Criminology & Police Science,Internship/Research Monograph,CRM426,,,
Oceanography ,Fundamental of Ocean Sciences,OCN101,,,
Oceanography ,Marine Biology: Invertebrates,OCN102,Institute of Marine Science,,
Oceanography ,Fundamentals of Marine Chemistry,OCN103,Chemistry,Institute of Marine Science,
Oceanography ,Introduction to Atmospheric Science,OCN104,,,
Oceanography ,Marine botany,OCN105,Botany,Institute of Marine Science,
Oceanography ,Calculus,OCN106,Mathematics,,
Oceanography ,Practical/Field Work + Viva voce,OCN107,,,
Oceanography ,Marine geology,OCN111,Institute of Marine Science,,
Oceanography ,Hydrodynamics & Coastal Hydraulics,OCN112,,,
Oceanography ,Marine geophysics,OCN113,Physics,Institute of Marine Science,
Oceanography ,Differential Equation and Linear Algebra,OCN114,Mathematics,GEB,
Oceanography ,Marine Biology: Vertebrates,OCN115,Institute of Marine Science,,
Oceanography ,Marine Analytical Chemistry,OCN116,Chemistry,Institute of Marine Science, Mathematics
Oceanography ,Practical/Field Work + Viva voce,OCN117,,,
Oceanography ,Physical Oceanography,OCN201,,,
Oceanography ,Oceanography of the Bay of Bengal,OCN202,,,
Oceanography ,Marine Biochemistry,OCN203,Chemistry,Biochemistry & Molecular Biology, Institute of Marine Science
Oceanography ,Ocean Minerals and Energy Resources,OCN204,,,
Oceanography ,Marine Biochemistry & Molecular Biology,OCN205,Chemistry, Biochemistry & Molecular Biology,Institute of Marine Science
Oceanography ,Computer Programming,OCN206,CSE,,
Oceanography ,Practical/Field Work + Viva voce,OCN207,,,
Oceanography ,Marine Sedimentology & Stratigraphy,OCN214,Institute of Marine Science,,
Oceanography ,Marine Microbiology,OCN215,Institute of Marine Science, Microbiology,
Oceanography ,Numerical Techniques in Oceanography,OCN216,Mathematics,,
Oceanography ,Practical/Field Work + Viva voce,OCN217,,,
Oceanography ,Marine Meteorology,OCN211,Institute of Marine Science,,
Oceanography ,Satellite Oceanography,OCN212,,,
Oceanography ,Marine Planktonology & Benthic Organisms,OCN213,Institute of Marine Science,,
Oceanography ,Acoustical Oceanography,OCN301,,,
Oceanography ,Molecular Methods in Oceanography,OCN302,,,
Oceanography ,Marine Ecology,OCN303,Institute of Marine Science,,
Oceanography ,Fisheries Oceanography,OCN304,Fisheries,,
Oceanography ,Petroleum Geology and Geophysics,OCN305,Physics,,
Oceanography ,Marine Mammals,OCN306,Institute of Marine Science,,
Oceanography ,Practical and field work + Viva-voce,OCN307,,,
Oceanography ,Ocean Waves and Tidal Energy,OCN311,,,
Oceanography ,Marine Ecological & Ecosystem Modeling,OCN312,Philosophy,Institute of Marine Science,
Oceanography ,Population Dynamics of Marine Organisms,OCN313,Institute of Marine Science,,
Oceanography ,Marine biotechnology and therapeutics,OCN314,GEB,Institute of Marine Science,
Oceanography ,Submarine and Underwater Communication,OCN315,Commuinication & Journalism,Institute of Marine Science,
Oceanography ,Geophysical Fluid Dynamics,OCN316,,,
Oceanography ,Coastal and Marine Aquaculture,OCN317,Institute of Marine Science,,
Oceanography ,Practical and field work + Viva-voce,OCN318,,,
Oceanography ,Global Climate Change,OCN401,,,
Oceanography ,Coastal Zone Management,OCN402,Management,,
Oceanography ,Coastal and Marine Pollution,OCN403,Institute of Marine Science,,
Oceanography ,Marine Spatial Planning & Ocean Governance,OCN404,Institute of Marine Science,,
Oceanography ,Coastal Landscape and GIS,OCN405,,,
Oceanography ,Coastal and Offshore Structures,OCN406,,,
Oceanography ,Statistical Techniques for Oceanographer,OCN407,Statistics,,
Oceanography ,Practical and field work + Viva-voce,OCN408,,,
Oceanography ,Mathematical modeling in oceanography,OCN411,Mathematics,,
Oceanography ,Palaeontology & Palae-oceanography,OCN412,,,
Oceanography ,Evolution and Earth’s Biosphere,OCN413,,,
Oceanography ,Law of the Sea and Maritime Boundary,OCN414,LAW,,
Oceanography ,Marine Biodiversity and Conservation,OCN415,Institute of Marine Science,,
Oceanography ,Research Methodology,OCN416,,,
Oceanography ,Practical and field work + Viva-voce,OCN417,,,
Islamic History,Political History of Islam up to 661 A.C,IHC-101,Political Science,,
Islamic History,Political History of Islam (661-1258 A.C),IHC-102,Political Science,,
Islamic History,Political History of the Muslim Rule in India up to 1526 A.C,IHC-103,Political Science,,
Islamic History,Political History of the Muslim Rule in India (1526-1857 A.C),IHC-104,Political Science,,
Islamic History,Socio-economic and Cultural History of the Muslims (610-1258 A.C),IHC-105,,,
Islamic History,Socio-economic and Cultural History of the Muslims in India (1206-1857 A.C),IHC-106,,,
Islamic History,Bengali Language Skills,IHC-107,Bangla,,
Islamic History,English Language Skills,IHC-108,English,,
Islamic History,Geography and Environment,Allied-01,Environmental Science, Geography and Environmental Science,
Islamic History,Basic Computer Applications,Allied-02,CSE,,
Islamic History,Functional English (Non-Credit),1,English,,
Islamic History,Bengal before the Muslim Conquest,IHC-201,,,
Islamic History,Political History of Bengal (1200-1576 A.C),IHC-202,Political Science,,
Islamic History,Political History of Bengal (1576-1857 A.C),IHC-203,Political Science,,
Islamic History,Socio-economic History of Bengal (1200-1757 A.C),IHC-204,,,
Islamic History,Socio-economic History of Bengal (1757-1947 A.C),IHC-205,,,
Islamic History,Rise of Socio-cultural and Political Organizations in Bengal (1800-1947 A.C),IHC-206,Political Science,,
Islamic History,Local History of Bangladesh (1799-2010 A.C),IHC-207,Bangla,,
Islamic History,History of Bangladesh (1947 to Present day),IHC-208,Bangla,,
Islamic History,Principle of Economics and Bangladesh Economics,Allied-01,Economics,Bangla,
Islamic History,Introduction to Public Administration and Bangladesh Public Administration,Allied-02,Bangla,Public Administration,
Islamic History,"History of Religious Principles, Institutions and Sects in Islam",IHC-301,,,
Islamic History,History of Muslim Rule in Spain (711-1492 A.C),IHC-302,,,
Islamic History,"History of Muslim Rule in Egypt and North Africa (Fatimids, Ayyubids and Mamluks)",IHC-303,,,
Islamic History,History of the Ottoman Turks (1288-1788 A.C),IHC-304,,,
Islamic History,History of the Ottoman Turks (1789-1924 A.C),IHC-305,,,
Islamic History,History of Modern Europe (1789-1871 A.C),IHC-306,,,
Islamic History,History of Modern Europe (1871 up to Present Day),IHC-307,,,
Islamic History,History of Muslim Administration up to 1258 A.C (Outside India),IHC-308,,,
Islamic History,History of Muslim Administration in India,IHC-309,,,
Islamic History,History of Muslim Art and Architecture,IHC-310,,,
Islamic History,History of the English East India Company (1757-1857 A.C),IHC-311,English,,
Islamic History,"History of Scientific, Literary and Philosophical Development in Islam",IHC-401,Development Studies,,
Islamic History,"History of the Muslim Minorities in Asia, Europe and North America (20th Century and onward)",IHC-402,,,
Islamic History,"History of Muslim Painting, Calligraphy and Numismatics",IHC-403,,,
Islamic History,History of World Civilization,IHC-404,,,
Islamic History,"History of Contemporary States in South East Asia up to Present Day (Indonesia, Malaysia, Brunai and Maldives)",IHC-405,,,
Islamic History,"History of Contemporary Muslim States in Africa (Egypt, Libya and the Sudan)",IHC-406,,,
Islamic History,History of the Muslim rules in Central Asia and Persia (1162-1925 A.C),IHC-407,,,
Islamic History,World Religion,IHC-408,,,
Islamic History,History of the British Rule in India (1857-1947 A.C),IHC-409,,,
Islamic History,History of International Organizations and Global Politics,IHC-410,Political Science,,
Islamic History,Introduction to Historiography and Research Methodology,IHC-411,,,
Accounting,Introduction to Financial Accounting,AIS1101,,,
Accounting,Introduction to Business,AIS1102,,,
Accounting,Computer Concepts and Applications,AIS1103,CSE,,
Accounting,Mathematics for Business Decisions-I,AIS1104,Mathematics,,
Accounting,Business Communication,AIS1105,Commuinication & Journalism,,
Accounting,Intermediate Financial Accounting,AIS1201,Commuinication & Journalism,,
Accounting,Microeconomics,AIS1202,Economics,,
Accounting,Management and Organization Behavior,AIS1203,Management,,
Accounting,Mathematics for Business Decisions-II,AIS1204,Mathematics,,
Accounting,Bangladesh Studies,AIS1205,Bangla,,
Accounting,Advanced Financial Accounting-I,AIS2101,,,
Accounting,Macroeconomics,AIS2102,Economics,,
Accounting,Programming and Database Management,AIS2103,CSE,Management,
Accounting,General Science and Environment,AIS2104,Environmental Science,,
Accounting,Business Statistics-I,AIS2105,Statistics,,
Accounting,Advanced Financial Accounting-II,AIS2201,,,
Accounting,Financial Management,AIS2202,Management,,
Accounting,Cost Accounting,AIS2203,,,
Accounting,Marketing,AIS2204,Marketing,,
Accounting,Business Statistics-II,AIS2205,Statistics,,
Accounting,Management Accounting,AIS3101,Management,,
Accounting,Banking and Insurance,AIS3102,Banking & Insurance,,
Accounting,Audit and Assurance,AIS3103,,,
Accounting,Income Tax: Laws and Practice,AIS3104,LAW,,
Accounting,Business Laws,AIS3105,LAW,,
Accounting,Forensic Accounting and Fraud Investigation,AIS3201,,,
Accounting,Corporate Finance,AIS3202,Finance,,
Accounting,Accounting Information Systems,AIS3203,,,
Accounting,VAT and Cross-border Taxation,AIS3204,,,
Accounting,"Corporate Laws, Governance and Secretarial Practices",AIS3205,LAW,,
Accounting,Advanced Management Accounting,AIS4101,Management,,
Accounting,Financial Market and Investment Analysis,AIS4102,,,
Accounting,IT Governance and Information System Audit,AIS4103,,,
Accounting,Supply Chain and Operation Management,AIS4104,Management,,
Accounting,Public Sector Accounting and Financial Management Accounting Theory,AIS4105,Management,,
Accounting,Accounting Theory,AIS4201,,,
Accounting,Business Analysis and Valuation,AIS4202,,,
Accounting,Data Analytics,AIS4203,Mathematics,,
Accounting,Strategic Management,AIS4204,Management,,
Accounting,Research Methodology,AIS4205,,,
Management,Bangladesh Studies,BSMGT-105,Bangla,,
Management,Introduction to Business,IBMGT-101,,,
Management,Principles of Management,PMMGT-102,,,
Management,Principles of Accounting,PAMGT-103,Accounting,,
Management,Principles of Marketing,PMMGT-104,Marketing,,
Management,Business Communication,BCMGT-106,Commuinication & Journalism,,
Management,Computing Fundamentals,CFMGT-107,,,
Management,Business Mathematics,BMMGT-108,Mathematics,,
Management,Principles of Finance,PFMGT-109,Finance,,
Management,General Science and Environment,GSEMGT-110,Environmental Science,,
Management,Microeconomics,MEMGT-201,Economics,,
Management,Business Statistics-I,BS-IMGT-202,Statistics,,
Management,Advanced Accounting,CourseMGT-203,Accounting,,
Management,Commercial Law,CLMGT-204,LAW,,
Management,Insurance and Risk Management,IRMMGT-205,Banking & Insurance,,
Management,Business Statistics-II,BS-IMGT-206,Statistics,,
Management,Auditing and Taxation,ATMGT-207,,,
Management,Business and Society,BSMGT-208,,,
Management,Industrial Law,ILMGT-209,LAW,,
Management,"Macroeconomics (noted as Microeconomics in image, likely Macro)",MEMGT-210,Economics,,
