Department,Course Title,Course No.,Related Dept,Related Dept 2,Related Dept 3
Fisheries,Mangrove Fisheries and Management,FISH 411,Management,,
Fisheries,Environmental Impact Assessment,FISH 413,Environmental Science,,
Fisheries,Integrated Coastal Zone Management,FISH 415,Management,,
Fisheries,Research Methodology,FISH 417,,,
Fisheries,Fisheries Conservation and Laws,FISH 419,LAW,,
Fisheries,Fisheries Resources Management Practical,FISH 402,Management,,
Fisheries,Climate Change and Fisheries Practical,FISH 404,,,
Fisheries,Fish and Shell Fish Nutrition Practical,FISH 406,,,
Fisheries,Fish and Shell Fish Diseases Practical,FISH 408,,,
Fisheries,Fisheries Biotechnology and Genetics Practical,FISH 410,GEB,,
Fisheries,Mangrove Fisheries and Management Practical,FISH 412,Management,,
Fisheries,Environmental Impact Assessment Practical,FISH 414,Environmental Science,,
Fisheries,Integrated Coastal Zone Management Practical,FISH 416,Management,,
Fisheries,Research Methodology Practical,FISH 418,,,
Mathematics,Fundamentals of Mathematics,Math 101,,,
Mathematics,Calculus-I,Math 102,,,
Mathematics,Coordinate Geometry,Math 103,,,
Mathematics,Vector Analysis,Math 104,,,
Mathematics,Discrete Mathematics,Math 105,,,
Mathematics,Physics-I,Math 106,Physics,,
Mathematics,Statistics-I,Math 107,Statistics,,
Mathematics,Computer Programming(I),Math 108,CSE,,
Mathematics,Economics-I,Math 109,Economics,,
Mathematics,Mathematics Lab(1),Math 110,,,
Mathematics,Computer Programming(I)-Lab,Math 111,CSE,,
Mathematics,English Language Course,Eng. 001,English,,
Mathematics,Calculus - II,Math 201,,,
Mathematics,Linear Algebra,Math 202,GEB,,
Mathematics,Real Analysis (I),Math 203,,,
Mathematics,Ordinary Diff. Equation,Math 204,,,
Mathematics,Tensor Analysis,Math 205,,,
Mathematics,Physics (II),Math 206,Physics,,
Mathematics,Statistics (II),Math 207,Statistics,,
Mathematics,Computer Programming(II),Math 208,CSE,,
Mathematics,Economics (II),Math 209,Economics,,
Mathematics,Mathematics Lab-II,Math 210,,,
Mathematics,Computer Programming II-Lab,Math 211,CSE,,
Mathematics,Real Analysis (II),Math 301,,,
Mathematics,Complex Analysis (I),Math 302,,,
Mathematics,Abstract Algebra,Math 303,GEB,,
Mathematics,Partial Differential equations,Math 304,,,
Mathematics,Methods of Applied Mathematics,Math 305,,,
Mathematics,Mechanics,Math 306,Physics,,
Mathematics,Numerical Analysis (I),Math 307,,,
Mathematics,Linear Programming,Math 308,CSE,,
Mathematics,Number Theory,Math 309,,,
Mathematics,Mathematical Computing Lab,Math 310,,,
Mathematics,Topology,Math 401,,,
Mathematics,Functional Analysis,Math 402,,,
Mathematics,Applied Data Analysis,Math 403,,,
Mathematics,Scientific Writing,Math 404,,,
Mathematics,Mathematical Programming,Math 406,CSE,,
Mathematics,Rings and Modules,Math 407,,,
Mathematics,Numerical Analysis (II),Math 408,,,
Mathematics,Classical Mechanics,Math 409,Physics,,
Mathematics,Theory of Relativity,Math 410,,,
Mathematics,Quantum Mechanics,Math 411,Physics,,
Mathematics,Electromagnetic theory,Math 412,,,
Mathematics,Thermodynamics & Statistical Mechanics,Math 413,Physics,Statistics,
Mathematics,Fluid Mechanics,Math 414,Physics,,
Mathematics,Differential Geometry,Math 415,,,
HRM,Introduction to Business,BCC 101,,,
HRM,Basic Accounting,BCC 102,Accounting,,
HRM,Business Mathematics,BCC 103,Mathematics,,
HRM,Principles of Management,BCC 104,Management,,
HRM,Business Communication,BCC 105,Commuinication & Journalism,,
HRM,Principles of Marketing,BCC 106,Marketing,,
HRM,Microeconomics,BCC 107,Economics,,
HRM,Business Statistics,BCC 108,Statistics,,
HRM,Business Law,BCC 109,LAW,,
HRM,Information Technology in Business,BCC 110,,,
HRM,Business Finance,BCC 201,Finance,,
HRM,Human Resource Management,BCC 202,Management,,
HRM,Principles of Banking,BCC 203,Banking & Insurance,,
HRM,Macroeconomics,BCC 204,Economics,,
HRM,Theory and Practices of Taxation,BCC 205,,,
HRM,Insurance & Risk Management,BCC 206,Management, Banking & Insurance,
HRM,Business Ethics,BCC 207,Philosophy,,
HRM,Entrepreneurship Development,BCC 208,Development Studies,,
HRM,Organization Behavior,BCC 209,,,
HRM,Bangladesh Studies and Economic Development,BCC 210,Bangla, Development Studies,
HRM,Operations and Supply Chain Management,HRM 301,Management,,
HRM,Change Management,HRM 302,Management,,
HRM,Cross-Cultural Management,HRM 303,Management,,
HRM,Labor Law and Compliance Management,HRM 304,Management,LAW,
HRM,International Business,HRM 305,,,
HRM,Organizational Staffing,HRM 306,,,
HRM,Human Resource Development,HRM 307,Development Studies,,
HRM,Performance Management,HRM 308,Management,,
HRM,Compensation Management,HRM 309,Management,,
HRM,Industrial Relations,HRM 310,,,
HRM,Interpersonal Skills Development,HRM 401,Development Studies,,
HRM,Career Management,HRM 402,Management,,
HRM,Organization Development,HRM 403,Development Studies,,
HRM,Labour Market and Institutions,HRM 404,,,
HRM,Human Resource Research Methods,HRM 405,,,
HRM,Managing Creativity and Innovation,HRM 406,,,
HRM,Human Resource Analytics,HRM 407,Mathematics,,
HRM,Diversity Management,HRM 408,Management,,
