Merit,Department
1017,Dept. of Islamic History and Culture
1018,Dept. of Islamic History and Culture
1022,Dept. of Islamic History and Culture
1026,Institute of Education and Research
1028,Dept. of Islamic History and Culture
1029,Dept. of Philosophy
1032,Dept. of Bangladesh Studies
1033,Dept. of Arabic
1035,Dept. of Bangladesh Studies
1036,Dept. of Islamic History and Culture
1037,Dept. of Islamic History and Culture
1038,Dept. of Islamic History and Culture
1040,Dept. of Islamic History and Culture
1041,Dept. of Philosophy
1042,Dept. of Islamic History and Culture
1043,Dept. of Philosophy
1045,Dept. of Philosophy
1046,Institute of Education and Research
1049,Dept. of Islamic History and Culture
1050,Dept. of Philosophy
1053,Dept. of Islamic History and Culture
1055,Dept. of Philosophy
1056,Dept. of Islamic History and Culture
1059,Dept. of Islamic History and Culture
1060,Dept. of Islamic History and Culture
1061,Institute of Education and Research
1062,Dept. of Islamic History and Culture
1064,Dept. of Philosophy
1065,Dept. of Islamic History and Culture
1066,Institute of Education and Research
1067,Institute of Modern Languages
1070,Institute of Education and Research
1071,Institute of Education and Research
1072,Dept. of Philosophy
1073,Dept. of Philosophy
1074,Dept. of Bangladesh Studies
1080,Institute of Education and Research
1084,Dept. of Islamic History and Culture
1086,Institute of Education and Research
1087,Institute of Education and Research
1091,Institute of Education and Research
1092,Dept. of Islamic History and Culture
1093,Dept. of Bangladesh Studies
1094,Dept. of Islamic History and Culture
1097,Dept. of Islamic History and Culture
1098,Dept. of Philosophy
1099,Dept. of Islamic Studies
1101,Dept. of Islamic History and Culture
1102,Dept. of Bangladesh Studies
1103,Dept. of Islamic History and Culture
1104,Dept. of Philosophy
1105,Dept. of Islamic History and Culture
1108,Dept. of Islamic History and Culture
1109,Dept. of Bangladesh Studies
1110,Dept. of Islamic History and Culture
1111,Dept. of Bangladesh Studies
1113,Dept. of Islamic History and Culture
1115,Dept. of Islamic History and Culture
1117,Dept. of Philosophy
1118,Dept. of Islamic History and Culture
1120,Dept. of Islamic History and Culture
1122,Dept. of Philosophy
1123,Dept. of Philosophy
1124,Dept. of Philosophy
1125,Dept. of Philosophy
1126,Dept. of Islamic History and Culture
1129,Institute of Education and Research
1131,Institute of Education and Research
1133,Institute of Modern Languages
1134,Dept. of Philosophy
1137,Dept. of Islamic History and Culture
1141,Institute of Education and Research
1142,Dept. of Bangladesh Studies
1143,Dept. of Bangladesh Studies
1144,Dept. of Bangladesh Studies
1145,Institute of Education and Research
1150,Dept. of Islamic Studies
1151,Dept. of Islamic History and Culture
1152,Dept. of Philosophy
1153,Dept. of Philosophy
1154,Dept. of Philosophy
1155,Institute of Education and Research
1156,Dept. of Philosophy
1158,Dept. of Islamic History and Culture
1159,Dept. of Philosophy
1161,Dept. of Philosophy
1163,Dept. of Islamic History and Culture
1164,Dept. of Bangladesh Studies
1165,Dept. of Philosophy
1166,Dept. of Philosophy
1167,Dept. of Islamic History and Culture
1168,Dept. of Philosophy
1169,Dept. of Islamic History and Culture
1170,Dept. of Islamic History and Culture
1171,Institute of Modern Languages
1172,Dept. of Philosophy
1175,Dept. of Philosophy
1176,Dept. of Bangladesh Studies
1177,Dept. of Philosophy
1179,Dept. of Philosophy
1182,Dept. of Philosophy
1183,Dept. of Philosophy
1185,Dept. of Philosophy
1187,Dept. of Philosophy
1190,Dept. of Philosophy
1191,Dept. of Bangladesh Studies
1192,Dept. of Bangladesh Studies
1193,Dept. of Philosophy
1195,Dept. of Philosophy
1196,Institute of Education and Research
1197,Dept. of Philosophy
1199,Dept. of Philosophy
1200,Dept. of Philosophy
1201,Dept. of Bangladesh Studies
1202,Dept. of Philosophy
1204,Dept. of Philosophy
1205,Dept. of Philosophy
1206,Dept. of Philosophy
1207,Dept. of Philosophy
1209,Dept. of Philosophy
1211,Dept. of Bangladesh Studies
1212,Dept. of Philosophy
1213,Dept. of Bangladesh Studies
1214,Dept. of Philosophy
1216,Dept. of Philosophy
1220,Dept. of Philosophy
1222,Dept. of Bangladesh Studies
1223,Dept. of Philosophy
1225,Dept. of Philosophy
1226,Dept. of Islamic Studies
1227,Dept. of Philosophy
1228,Dept. of Philosophy
1229,Dept. of Philosophy
1231,Institute of Education and Research
1232,Dept. of Bangladesh Studies
1234,Institute of Education and Research
1235,Dept. of Philosophy
1236,Dept. of Arabic
1238,Institute of Modern Languages
1239,Dept. of Philosophy
1240,Institute of Modern Languages
1241,Dept. of Arabic
1243,Dept. of Islamic Studies
1244,Dept. of Philosophy
1246,Dept. of Islamic Studies
1252,Dept. of Philosophy
1253,Dept. of Philosophy
1254,Dept. of Philosophy
1255,Dept. of Philosophy
1256,Dept. of Philosophy
1258,Dept. of Philosophy
1259,Dept. of Philosophy
1260,Institute of Modern Languages
